MainID,St_name,Dist,DistName,StartTime,EndTime,Side,from,to,miles,oneway,week1,week2,week3,week4,week5,sunday,monday,tuesday,wednesday,thursday,friday,saturday,everyday,yearround
2204,Romsey St,3,North Dorchester,8:00,12:00,Even,Dorchester Ave,Sydney St,0.218,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2205,Romsey St,3,North Dorchester,8:00,12:00,Odd,Dorchester Ave,Sydney St,0.218,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2206,St Peter St,2,Jamaica Plain,8:00,12:00,Odd,Paul Gore St,Boylston St,0.0992,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2207,St Martin St,1C,Charlestown,8:00,12:00,Even,Wellington Pl,Medford St,0.0337,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
2208,St James Ave,1B,Back Bay,0:01,7:00,,Arlington St,Huntington Ave,0.3614,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2209,Ronald St,3,North Dorchester,12:00,16:00,Even,Brinsley St,Morse St,0.0348,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2210,Victoria St,3,North Dorchester,12:00,16:00,Odd,Dorchester Ave,Pleasant St,0.1551,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2211,Wales St,3,North Dorchester,12:00,16:00,Even,Blue Hill Ave,Talbot Ave,0.4161,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2212,Upton St,1S,South End,8:00,12:00,Even,Shawmut Ave,Tremont St,0.1352,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
2213,Van Ness St,10F,Fenway/Kenmore,12:00,16:00,Odd,Ipswich St,Kilmarnock St,0.2585,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2214,Ronald St,3,North Dorchester,12:00,16:00,Odd,Brinsley St,Morse St,0.0348,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2215,Ronan St,3,North Dorchester,12:00,16:00,Odd,Bellevue St,Dead End,0.0703,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
2216,Ronan St,3,North Dorchester,12:00,16:00,Even,Bellevue St,Dead End,0.0703,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
2217,Rosedale St,7,South Dorchester,12:00,16:00,Even,Washington St,Whitfield St,0.1538,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2218,Rosedale St,7,South Dorchester,12:00,16:00,Odd,Washington St,Whitfield St,0.1538,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2219,Rosemary St,2,Jamaica Plain,8:00,12:00,Odd,South St,Spalding St,0.0956,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2220,Rosemary St,2,Jamaica Plain,8:00,12:00,Even,South St,Spalding St,0.0956,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2221,Rosseter St,3,North Dorchester,12:00,16:00,Even,Eldon St,Bowdoin Ave,0.4182,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
