FID,OBJECTID,STREET_NAM,ROADINVENT,FUNCTIONAL,JURISDICTI,Divided,InstallDat,ExisFacil,Shape__Length
2701,5822,Blue Hill Avenue,5124000,2,2,1,2010,BL,120.314161764028
2702,5823,South Street,4748300,5,2,0,2010,SLM,32.8660402344221
2703,5824,Centre Street,4737100,5,2,0,2011,SLM,79.5010073266735
2704,5825,Centre Street,4683100,5,2,0,2010,SLM,74.8423211195422
2705,5826,South Huntington Avenue,5127600,5,2,0,2010,BL,80.6017719832187
2706,5827,South Huntington Avenue,4635700,5,2,0,2010,BL,117.78733084295
2707,5828,South Huntington Avenue,5127900,5,2,0,2010,SLM,113.376985978882
2708,5829,Commonwealth Avenue,5249500,3,2,1,2018,SBL,319.129298569618
2709,5830,Commonwealth Avenue,5118900,3,2,1,2019,SBL,162.727256765613
2710,5831,Commonwealth Avenue,6294401,3,2,1,2019,SBL,227.116252597565
2711,5832,River Street,5047700,5,2,0,2013,SLM,112.442576844602
2712,5833,Centre Street,5600200,5,2,0,2011,SLM,17.1961011500293
2713,5834,Ruggles Street,5365300,5,2,0,2010,SLM,61.9581263002003
2714,5835,Morton Street,5106400,2,1,1,2013,BFBL,114.200641803612
2715,5836,Rossmore Street,4757500,0,2,0,2017,TC,98.2690677226133
2716,5837,Williams Street,4763700,0,2,0,2017,TC,307.410922929873
2717,5838,Centre Street,5827600,5,2,1,2010,SLM,76.0532483541662
2718,5839,Huntington Avenue,5197400,3,2,0,2013,SLM,25.7243124066724
2719,5840,Brookline Avenue,6298100,2,2,0,2013,BL,27.4578477374867
2720,5841,Commonwealth Avenue,6233700,3,2,1,2010,BL,353.807311341578
2721,5842,Commonwealth Avenue,6225000,3,2,1,2010,BL,151.351183004329
2722,5843,River Street,5729800,5,2,0,2013,SLM,96.6851646690589
2723,5844,Walk Hill Street,5168200,5,2,0,2015,BL,45.6403289982905
2724,5845,Morton Street,5688300,2,1,1,2013,BFBL,808.561489977221
2725,5846,Centre Street,4637200,5,2,0,2010,BLSL,80.3688311570315
2726,5847,Longwood Avenue,5196700,5,2,0,2015,BLSL,134.062554306538
2727,5848,Saint Alphonsus Street,5350900,5,2,0,2015,BL,67.9088127923238
2728,5849,Mountfort Street,5782500,0,2,0,2017,BL,119.399794929707
2729,5850,Beacon Street,5742700,3,2,1,2010,BL,89.3749157455574
2730,5851,Commonwealth Avenue,6224700,3,2,1,2008,BL,285.59522075335
2731,5852,River Street,5730200,5,2,1,2013,SLM,28.2053886383015
2732,5853,Blue Hill Avenue,5175400,2,2,1,2010,SLM,69.7492851128598
2733,5854,Blue Hill Avenue,6248000,2,2,1,2010,BL,74.8461881881767
2734,5855,Blue Hill Avenue,5486002,2,2,1,2010,SLM,4.69204195195466
2735,5856,Blue Hill Avenue,5007300,2,2,1,2010,BL,423.384390191458
